# BUSCO version is: 3.0.2 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /bigdata/stajichlab/shared/projects/Chytrid/Chytrid_Phylogenomics/LCG/Assembly/genomes/Rhizophydium_sp._JEL0829.dipspades.fasta -o Rhizophydium_sp._JEL0829.dipspades -l /bigdata/operations/pkgadmin/srv/projects/db/BUSCO/v9/fungi_odb9/ -m genome -c 4 -t /scratch/978385_26/ -sp batrachochytrium_dendrobatidis_G2
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092C00SU	Complete	50_contig_135195_length	99309	104005	396.9	528
EOG092C00WD	Complete	36_contig_318631_length	28490	35319	1449.8	1264
EOG092C02J3	Complete	105_contig_34272_length	1880	12966	1155.3	1111
EOG092C038B	Complete	40_contig_217408_length	53346	55999	472.5	470
EOG092C03KT	Complete	5_contig_127787_length	21426	29511	350.9	569
EOG092C07CA	Complete	5_contig_127787_length	77641	86443	531.6	560
EOG092C08KH	Complete	48_contig_154426_length	131894	140256	813.7	766
EOG092C097K	Complete	33_contig_61606_length	34603	38069	569.8	580
EOG092C0B3U	Complete	40_contig_217408_length	188627	196460	377.9	524
EOG092C0BAH	Complete	62_contig_83221_length	48215	61914	781.4	693
EOG092C0BPW	Complete	4_contig_93081_length	70148	72685	367.6	382
EOG092C0C5J	Complete	59_contig_106688_length	68556	71752	950.7	835
EOG092C0C7Z	Missing
EOG092C0CHR	Complete	37_contig_268600_length	30287	34650	887.9	761
EOG092C0CZK	Fragmented	2_contig_199607_length	128395	140485	325.1	492
EOG092C0F0X	Complete	56_contig_111882_length	11033	14212	730.4	632
EOG092C0I1P	Complete	48_contig_154426_length	34719	37200	667.4	496
EOG092C0JYF	Complete	127_contig_21670_length	3964	15767	492.0	744
EOG092C0K4D	Fragmented	43_contig_183429_length	55772	62935	346.2	386
EOG092C0KG1	Complete	74_contig_59130_length	39563	41862	375.8	597
EOG092C0KYA	Missing
EOG092C0N3X	Complete	51_contig_134136_length	109531	111932	410.9	416
EOG092C0OA7	Complete	5_contig_127787_length	56807	60404	155.1	377
EOG092C0P21	Fragmented	51_contig_134136_length	50456	61477	585.8	555
EOG092C0QZM	Complete	28_contig_79887_length	28355	41499	634.6	736
EOG092C0RGR	Complete	150_contig_16083_length	11085	12921	524.9	479
EOG092C0ROF	Complete	61_contig_100276_length	4369	5855	238.4	334
EOG092C0ST1	Duplicated	73_contig_61244_length	16009	18149	775.9	527
EOG092C0ST1	Duplicated	8_contig_139866_length	61402	63662	770.1	602
EOG092C0TYK	Missing
EOG092C0U5S	Fragmented	46_contig_170582_length	102119	112862	340.1	380
EOG092C0UR7	Missing
EOG092C0VEN	Complete	46_contig_170582_length	40409	52504	486.9	485
EOG092C0WBD	Missing
EOG092C0WZC	Missing
EOG092C0XD0	Complete	41_contig_201452_length	1985	4977	201.7	247
EOG092C0Y9M	Complete	65_contig_81065_length	42059	47689	114.7	171
EOG092C0YZZ	Complete	19_contig_99098_length	62312	69875	183.9	511
EOG092C0ZT0	Fragmented	103_contig_36988_length	18178	28914	289.3	312
EOG092C11L7	Complete	25_contig_102636_length	24106	26343	551.6	379
EOG092C11NN	Complete	41_contig_201452_length	79914	81077	449.0	319
EOG092C121R	Missing
EOG092C12O0	Missing
